Year,Round,Team1,Team2,Team1_Seed,Team2_Seed,SeedDiff,Team1_AdjEM,Team2_AdjEM,Team1_AdjO,Team2_AdjO,Team1_AdjD,Team2_AdjD,Team1_AdjT,Team2_AdjT,Team1_Luck,Team2_Luck,Team1_SOS,Team2_SOS,Team1_NCSOS,Team2_NCSOS,Team1_KenPomRank,Team2_KenPomRank,Team1_ELO,Team2_ELO,Team1_Q1Wins,Team2_Q1Wins,Team1_Won,Team1_OffenseRating,Team2_OffenseRating,Team1_DefenseRating,Team2_DefenseRating
2018,Round32,College of Charleston,Auburn,13,4,9,4.73418,20.6348,109.887,118.196,105.153,97.5614,64.6463,72.2946,0.0,0.0,0.0,0.0,0.0,0.0,120,16,53,22,1,7,0,6.578623932,11.0575062,0.625929033,8.201320018
2018,Round16,Syracuse,TCU,11,6,5,13.5929,18.9201,107.705,120.625,94.1122,101.705,63.3993,68.7039,0.0,0.0,0.0,0.0,0.0,0.0,54,22,75,42,4,4,1,2.273100068,14.07253062,9.682660478,3.836257039
2018,Round16,TCU,Syracuse,6,11,-5,18.9201,13.5929,120.625,107.705,101.705,94.1122,68.7039,63.3993,0.0,0.0,0.0,0.0,0.0,0.0,22,54,42,75,4,4,0,14.07253062,2.273100068,3.836257039,9.682660478
2018,Round32,Michigan St.,Bucknell,3,14,-11,26.3461,6.8137,119.983,109.182,93.6364,102.368,67.1449,71.4452,0.0,0.0,0.0,0.0,0.0,0.0,6,100,6,63,3,0,1,15.98576908,5.672592508,11.03970778,4.064226477
2018,Round32,Bucknell,Michigan St.,14,3,11,6.8137,26.3461,109.182,119.983,102.368,93.6364,71.4452,67.1449,0.0,0.0,0.0,0.0,0.0,0.0,100,6,63,6,0,3,0,5.672592508,15.98576908,4.064226477,11.03970778
2018,Round32,Rhode Island,Oklahoma,7,10,-3,14.3818,14.419,111.71,115.128,97.328,100.709,68.6547,75.8225,0.0,0.0,0.0,0.0,0.0,0.0,49,47,32,79,2,6,1,6.33870612,7.839428906,7.990747747,5.145201246
2018,Round32,Oklahoma,Rhode Island,10,7,3,14.419,14.3818,115.128,111.71,100.709,97.328,75.8225,68.6547,0.0,0.0,0.0,0.0,0.0,0.0,47,49,79,32,6,2,0,7.839428906,6.33870612,5.145201246,7.990747747
2018,Round8,Duke,Iona,2,15,-13,29.1348,2.87263,122.602,110.261,93.467,107.388,70.0021,70.6965,0.0,0.0,0.0,0.0,0.0,0.0,3,134,12,125,6,0,1,16.67680698,4.844996431,11.65475149,-0.80322519
2018,Round8,Iona,Duke,15,2,13,2.87263,29.1348,110.261,122.602,107.388,93.467,70.6965,70.0021,0.0,0.0,0.0,0.0,0.0,0.0,134,3,125,12,0,6,0,4.844996431,16.67680698,-0.80322519,11.65475149
2018,Round8,Kansas St.,UMBC,9,16,-7,14.7543,-1.9086,112.178,103.389,97.4236,105.297,65.5437,68.1857,0.0,0.0,0.0,0.0,0.0,0.0,44,184,31,94,4,1,1,5.163970604,-1.690811615,7.381096921,-0.173268973
2018,Round8,UMBC,Kansas St.,16,9,7,-1.9086,14.7543,103.389,112.178,105.297,97.4236,68.1857,65.5437,0.0,0.0,0.0,0.0,0.0,0.0,184,44,94,31,1,4,0,-1.690811615,5.163970604,-0.173268973,7.381096921
2018,Round16,Kentucky,Buffalo,5,13,-8,20.4069,10.4931,116.426,114.284,96.019,103.791,68.5818,72.8022,0.0,0.0,0.0,0.0,0.0,0.0,18,77,16,36,5,0,1,11.03344146,6.971610308,9.084428578,2.039071494
2018,Round16,Buffalo,Kentucky,13,5,8,10.4931,20.4069,114.284,116.426,103.791,96.019,72.8022,68.5818,0.0,0.0,0.0,0.0,0.0,0.0,77,18,36,16,0,5,0,6.971610308,11.03344146,2.039071494,9.084428578
2018,E8,Loyola Chicago,Tennessee,11,3,8,15.1402,22.1486,111.331,114.839,96.1911,92.6901,65.3221,66.1739,0.0,0.0,0.0,0.0,0.0,0.0,41,11,14,10,1,6,1,5.487862172,8.873460336,6.614882655,10.32694805
2018,E8,Tennessee,Loyola Chicago,3,11,-8,22.1486,15.1402,114.839,111.331,92.6901,96.1911,66.1739,65.3221,0.0,0.0,0.0,0.0,0.0,0.0,11,41,10,14,6,1,0,8.873460336,5.487862172,10.32694805,6.614882655
2018,Round16,Nevada,Cincinnati,7,2,5,18.1814,26.9966,119.901,113.155,101.72,86.158,69.4886,64.6798,0.0,0.0,0.0,0.0,0.0,0.0,24,4,20,3,2,6,1,12.79739622,10.02658752,2.877351665,15.78423457
2018,Round16,Cincinnati,Nevada,2,7,-5,26.9966,18.1814,113.155,119.901,86.158,101.72,64.6798,69.4886,0.0,0.0,0.0,0.0,0.0,0.0,4,24,3,20,6,2,0,10.02658752,12.79739622,15.78423457,2.877351665
2018,Round8,Florida St.,Xavier,9,1,8,15.8239,21.6909,115.822,120.74,99.9984,99.0492,71.6051,70.4307,0.0,0.0,0.0,0.0,0.0,0.0,35,14,58,4,6,5,1,10.64365008,14.50101694,5.68896564,4.34614102
2018,Round8,Xavier,Florida St.,1,9,-8,21.6909,15.8239,120.74,115.822,99.0492,99.9984,70.4307,71.6051,0.0,0.0,0.0,0.0,0.0,0.0,14,35,4,58,5,6,0,14.50101694,10.64365008,4.34614102,5.68896564
2018,Round16,Gonzaga,Ohio St.,4,5,-1,24.7352,21.1094,119.824,116.15,95.0891,95.0408,68.9851,66.3996,0.0,0.0,0.0,0.0,0.0,0.0,8,15,8,19,5,3,1,14.24633926,10.756862,9.70273739,8.721927538
2018,Round16,Ohio St.,Gonzaga,5,4,1,21.1094,24.7352,116.15,119.824,95.0408,95.0891,66.3996,68.9851,0.0,0.0,0.0,0.0,0.0,0.0,15,8,19,8,3,5,0,10.756862,14.24633926,8.721927538,9.70273739
2018,R32,Michigan,Houston,3,6,-3,23.1909,20.5396,115.9,115.787,92.7095,95.2473,64.3592,68.2176,0.0,0.0,0.0,0.0,0.0,0.0,10,17,5,15,6,6,1,11.20616286,10.5654655,10.69681947,10.50699653
2018,R32,Houston,Michigan,6,3,3,20.5396,23.1909,115.787,115.9,95.2473,92.7095,68.2176,64.3592,0.0,0.0,0.0,0.0,0.0,0.0,17,10,15,5,6,6,0,10.5654655,11.20616286,10.50699653,10.69681947
2018,Round16,Texas A&M,North Carolina,7,2,5,16.9086,25.0348,111.204,121.959,94.2949,96.9241,69.0256,70.9501,0.0,0.0,0.0,0.0,0.0,0.0,30,7,47,13,6,14,1,6.759062287,16.70177029,10.08796499,7.602200731
2018,Round16,North Carolina,Texas A&M,2,7,-5,25.0348,16.9086,121.959,111.204,96.9241,94.2949,70.9501,69.0256,0.0,0.0,0.0,0.0,0.0,0.0,7,30,13,47,14,6,0,16.70177029,6.759062287,7.602200731,10.08796499
2018,R64,Villanova,Alabama,1,9,-8,31.4091,13.8252,127.384,108.459,95.9749,94.6334,68.277,68.7962,0.0,0.0,0.0,0.0,0.0,0.0,2,51,2,73,10,7,1,20.84256084,3.425417748,9.120006859,9.928221542
2018,R64,Alabama,Villanova,9,1,8,13.8252,31.4091,108.459,127.384,94.6334,95.9749,68.7962,68.277,0.0,0.0,0.0,0.0,0.0,0.0,51,2,73,2,7,10,0,3.425417748,20.84256084,9.928221542,9.120006859
2018,Round16,West Virginia,Marshall,5,13,-8,21.7748,5.38402,119.151,109.328,97.3766,103.944,69.0413,74.8308,0.0,0.0,0.0,0.0,0.0,0.0,13,114,18,70,8,3,1,12.19485834,3.180542083,9.97322051,2.241565088
2018,Round16,Marshall,West Virginia,13,5,8,5.38402,21.7748,109.328,119.151,103.944,97.3766,74.8308,69.0413,0.0,0.0,0.0,0.0,0.0,0.0,114,13,70,18,3,8,0,3.180542083,12.19485834,2.241565088,9.97322051
2018,Round8,Texas Tech,Florida,3,6,-3,21.9424,18.7137,114.03,115.14,92.0873,96.4262,66.5709,66.7986,0.0,0.0,0.0,0.0,0.0,0.0,12,23,23,48,7,9,1,8.035233666,11.36223934,10.99401121,9.775968834
2018,Round8,Florida,Texas Tech,6,3,3,18.7137,21.9424,115.14,114.03,96.4262,92.0873,66.7986,66.5709,0.0,0.0,0.0,0.0,0.0,0.0,23,12,48,23,9,7,0,11.36223934,8.035233666,9.775968834,10.99401121
2018,Round16,Purdue,Butler,2,10,-8,26.6663,17.8667,123.248,115.758,96.5818,97.8916,67.2291,67.8456,0.0,0.0,0.0,0.0,0.0,0.0,5,25,9,51,6,4,1,16.76733025,9.245131837,8.333908398,5.689746333
2018,Round16,Butler,Purdue,10,2,8,17.8667,26.6663,115.758,123.248,97.8916,96.5818,67.8456,67.2291,0.0,0.0,0.0,0.0,0.0,0.0,25,5,51,9,4,6,0,9.245131837,16.76733025,5.689746333,8.333908398
2018,E8,Kansas,Seton Hall,1,8,-7,23.2388,17.3352,120.933,116.335,97.6938,98.9994,68.4279,69.3438,0.0,0.0,0.0,0.0,0.0,0.0,9,26,7,43,12,4,1,14.79515601,10.2710874,6.709971375,5.738957963
2018,E8,Seton Hall,Kansas,8,1,7,17.3352,23.2388,116.335,120.933,98.9994,97.6938,69.3438,68.4279,0.0,0.0,0.0,0.0,0.0,0.0,26,9,43,7,4,12,0,10.2710874,14.79515601,5.738957963,6.709971375
2018,Round16,Clemson,Auburn,5,4,1,20.2693,20.6348,113.774,118.196,93.5052,97.5614,65.6205,72.2946,0.0,0.0,0.0,0.0,0.0,0.0,19,16,28,22,4,7,1,7.496663253,11.0575062,9.440331913,8.201320018
2018,Round16,Auburn,Clemson,4,5,-1,20.6348,20.2693,118.196,113.774,97.5614,93.5052,72.2946,65.6205,0.0,0.0,0.0,0.0,0.0,0.0,16,19,22,28,7,4,0,11.0575062,7.496663253,8.201320018,9.440331913
