Year,Round,GameID,WinningTeam,WinningSeed,WinningScore,LosingTeam,LosingSeed,LosingScore,ScoreDiff
2011,Round32,818,UCLA,7,78.0,Michigan St.,10,76.0,2.0
2011,Round8,819,Florida,2,79.0,UC Santa Barbara,15,51.0,28.0
2011,Round16,820,Ohio St.,1,98.0,George Mason,8,66.0,32.0
2011,E8,821,Kentucky,4,71.0,West Virginia,5,63.0,8.0
2011,Round16,822,Marquette,11,66.0,Syracuse,3,62.0,4.0
2011,Round8,823,North Carolina,2,86.0,Washington,7,83.0,3.0
2011,Round16,824,Duke,1,73.0,Michigan,8,71.0,2.0
2011,Round8,825,Arizona,5,70.0,Texas,4,69.0,1.0
2011,R64,826,Connecticut,3,69.0,Cincinnati,6,58.0,11.0
2011,Round16,827,San Diego St.,2,71.0,Temple,7,64.0,7.0
2011,Round8,828,Kansas,1,73.0,Illinois,9,59.0,14.0
2011,Round16,829,Richmond,12,65.0,Morehead St.,13,48.0,17.0
2011,E8,830,VCU,11,94.0,Purdue,3,76.0,18.0
2011,Round16,831,Florida St.,10,71.0,Notre Dame,2,57.0,14.0
2011,R32,832,Butler,8,71.0,Pittsburgh,1,70.0,1.0
2011,Round16,833,Wisconsin,4,70.0,Kansas St.,5,65.0,5.0
2011,Round16,834,BYU,3,89.0,Gonzaga,11,67.0,22.0
2011,Round8,835,Florida,2,73.0,UCLA,7,65.0,8.0
2011,E8,836,Kentucky,4,62.0,Ohio St.,1,60.0,2.0
2011,Round8,837,North Carolina,2,81.0,Marquette,11,63.0,18.0
2011,Round8,838,Arizona,5,93.0,Duke,1,77.0,16.0
2011,R64,839,Connecticut,3,74.0,San Diego St.,2,67.0,7.0
2011,Round8,840,Kansas,1,77.0,Richmond,12,57.0,20.0
2011,E8,841,VCU,11,72.0,Florida St.,10,71.0,1.0
2011,R32,842,Butler,8,61.0,Wisconsin,4,54.0,7.0
2011,Round8,843,Florida,2,83.0,BYU,3,74.0,9.0
2011,E8,844,Kentucky,4,76.0,North Carolina,2,69.0,7.0
2011,R64,845,Connecticut,3,65.0,Arizona,5,63.0,2.0
2011,E8,846,VCU,11,71.0,Kansas,1,61.0,10.0
2011,R32,847,Butler,8,74.0,Florida,2,71.0,3.0
2011,R64,848,Connecticut,3,56.0,Kentucky,4,55.0,1.0
2011,R32,849,Butler,8,70.0,VCU,11,62.0,8.0
2011,R64,850,Connecticut,3,53.0,Butler,8,41.0,12.0
2012,R64,725,Kentucky,1,81.0,Western Kentucky,16,66.0,15.0
2012,Round32,726,Iowa St.,8,77.0,Connecticut,9,64.0,13.0
2012,Round32,727,VCU,12,62.0,Wichita St.,5,59.0,3.0
2012,Round16,728,Indiana,4,79.0,New Mexico St.,13,66.0,13.0
2012,Round32,729,Colorado,11,68.0,UNLV,6,64.0,4.0
2012,Round8,730,Baylor,3,68.0,South Dakota St.,14,60.0,8.0
2012,Round16,731,Xavier,10,67.0,Notre Dame,7,63.0,4.0
2012,Round32,732,Lehigh,15,75.0,Duke,2,70.0,5.0
2012,Round16,733,Michigan St.,1,89.0,LIU Brooklyn,16,67.0,22.0
2012,Round32,734,Saint Louis,9,61.0,Memphis,8,54.0,7.0
2012,Round32,735,New Mexico,5,75.0,Long Beach St.,12,68.0,7.0
2012,E8,736,Louisville,4,69.0,Davidson,13,62.0,7.0
2012,Round32,737,Murray St.,6,58.0,Colorado St.,11,41.0,17.0
2012,Round16,738,Marquette,3,88.0,BYU,14,68.0,20.0
2012,Round8,739,Florida,7,71.0,Virginia,10,45.0,26.0
2012,Round32,740,Norfolk St.,15,86.0,Missouri,2,84.0,2.0
2012,Round8,741,Syracuse,1,72.0,UNC Asheville,16,65.0,7.0
2012,Round32,742,Kansas St.,8,70.0,Southern Miss,9,64.0,6.0
2012,Round32,743,Vanderbilt,5,79.0,Harvard,12,70.0,9.0
2012,Round16,744,Wisconsin,4,73.0,Montana,13,49.0,24.0
2012,Round16,745,Cincinnati,6,65.0,Texas,11,59.0,6.0
2012,Round32,746,Florida St.,3,66.0,St. Bonaventure,14,63.0,3.0
2012,Round32,747,Gonzaga,7,77.0,West Virginia,10,54.0,23.0
2012,E8,748,Ohio St.,2,78.0,Loyola MD,15,59.0,19.0
2012,Round8,749,North Carolina,1,77.0,Vermont,16,58.0,19.0
2012,Round32,750,Creighton,8,58.0,Alabama,9,57.0,1.0
2012,Round32,751,South Florida,12,58.0,Temple,5,44.0,14.0
2012,Round16,752,Ohio,13,65.0,Michigan,4,60.0,5.0
2012,Round16,753,North Carolina St.,11,79.0,San Diego St.,6,65.0,14.0
2012,Round32,754,Georgetown,3,74.0,Belmont,14,59.0,15.0
2012,Round32,755,Purdue,10,72.0,Saint Mary's,7,69.0,3.0
2012,R32,756,Kansas,2,65.0,Detroit,15,50.0,15.0
2012,R64,757,Kentucky,1,87.0,Iowa St.,8,71.0,16.0
2012,Round16,758,Indiana,4,63.0,VCU,12,61.0,2.0
2012,Round8,759,Baylor,3,80.0,Colorado,11,63.0,17.0
2012,Round16,760,Xavier,10,70.0,Lehigh,15,58.0,12.0
2012,Round16,761,Michigan St.,1,65.0,Saint Louis,9,61.0,4.0
2012,E8,762,Louisville,4,59.0,New Mexico,5,56.0,3.0
2012,Round16,763,Marquette,3,62.0,Murray St.,6,53.0,9.0
2012,Round8,764,Florida,7,84.0,Norfolk St.,15,50.0,34.0
2012,Round8,765,Syracuse,1,75.0,Kansas St.,8,59.0,16.0
2012,Round16,766,Wisconsin,4,60.0,Vanderbilt,5,57.0,3.0
2012,Round16,767,Cincinnati,6,62.0,Florida St.,3,56.0,6.0
2012,E8,768,Ohio St.,2,73.0,Gonzaga,7,66.0,7.0
2012,Round8,769,North Carolina,1,87.0,Creighton,8,73.0,14.0
2012,Round16,770,Ohio,13,62.0,South Florida,12,56.0,6.0
2012,Round16,771,North Carolina St.,11,66.0,Georgetown,3,63.0,3.0
2012,R32,772,Kansas,2,63.0,Purdue,10,60.0,3.0
2012,R64,773,Kentucky,1,102.0,Indiana,4,90.0,12.0
2012,Round8,774,Baylor,3,75.0,Xavier,10,70.0,5.0
2012,E8,775,Louisville,4,57.0,Michigan St.,1,44.0,13.0
2012,Round8,776,Florida,7,68.0,Marquette,3,58.0,10.0
2012,Round8,777,Syracuse,1,64.0,Wisconsin,4,63.0,1.0
